Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Escuela Especial Despertar De Lo Espejo;-33,51842516;-70,68308596;Part. Subvencionado;RM;Lo Espejo;Urbano;90
Escuela Especial  Nino De Jesus;-33,56398;-70,78627;Part. Subvencionado;RM;Maipú;Urbano;49
Instituto De Educacion De Adultos Macul;-33,48195;-70,60063;Serv. Local Educacion;RM;Macul;Urbano;314
Escuela Especial Padre Pio College;-33,42961;-70,71673;Part. Subvencionado;RM;Quinta Normal;Urbano;182
Esc. Esp. Part Madre Maria Mazzarello;-33,549305;-70,654816;Part. Subvencionado;RM;El Bosque;Urbano;71
Col. Part. Sagrado Corazon De Jesus De La Re;-33,46319581;-70,54356932;Part. Subvencionado;RM;La Reina;Urbano;1307
Cardenal Juan Francisco Fresno Larrain;-33,62041493;-70,60580649;Part. Subvencionado;RM;Puente Alto;Urbano;1458
Centro Educacional Adultos Kairos;-33,608627;-70,87407;Part. Subvencionado;RM;Peñaflor;Urbano;82
Colegio Particular El Alba De Macul;-33,48231055;-70,59866793;Part. Subvencionado;RM;Macul;Urbano;381
Escuela Part.  Curacavi College;-33,40532085;-71,1269759;Part. Subvencionado;RM;Curacaví;Urbano;1103
Escuela Especial Part. N_ 110  Trinidad Ferr;-33,597397;-70,69284;Part. Subvencionado;RM;San Bernardo;Urbano;101
